ticker,sector,industry
AII,Financial Services,Insurance - Property & Casualty
AIIO,Consumer Cyclical,Auto Manufacturers
AIM,Healthcare,Biotechnology
AIMD,Healthcare,Medical Devices
AIN,Consumer Cyclical,Textile Manufacturing
AIO,Financial Services,Asset Management
AIOT,Technology,Software - Infrastructure
AIP,Technology,Semiconductors
AIR,Industrials,Aerospace & Defense
AIRE,Real Estate,Real Estate Services
AIRG,Technology,Communication Equipment
AIRI,Industrials,Aerospace & Defense
AIRJ,Industrials,Building Products & Equipment
AIRO,Industrials,Aerospace & Defense
AIRS,Healthcare,Medical Care Facilities
AIRT,Industrials,Conglomerates
AISP,Technology,Software - Infrastructure
AIT,Industrials,Industrial Distribution
AIV,Real Estate,REIT - Residential
AIXI,Technology,Software - Application
AIZ,Financial Services,Insurance - Property & Casualty
AJG,Financial Services,Insurance Brokers
AKA,Consumer Cyclical,Apparel Retail
AKAM,Technology,Software - Infrastructure
AKAN,Healthcare,Drug Manufacturers - Specialty & Generic
AKBA,Healthcare,Drug Manufacturers - Specialty & Generic
AKR,Real Estate,REIT - Retail
AKRO,Healthcare,Biotechnology
AKTX,Healthcare,Biotechnology
AL,Industrials,Rental & Leasing Services
ALAB,Technology,Semiconductors
ALAR,Technology,Software - Infrastructure
ALB,Basic Materials,Specialty Chemicals
ALBT,Real Estate,Real Estate Services
ALC,Healthcare,Medical Instruments & Supplies
ALCO,Consumer Defensive,Farm Products
ALCY,Financial Services,Shell Companies
ALDF,Financial Services,Shell Companies
ALDX,Healthcare,Biotechnology
ALE,Utilities,Utilities - Diversified
ALEC,Healthcare,Biotechnology
ALEX,Real Estate,REIT - Retail
ALF,Financial Services,Shell Companies
ALG,Industrials,Farm & Heavy Construction Machinery
ALGM,Technology,Semiconductors
ALGN,Healthcare,Medical Instruments & Supplies
ALGS,Healthcare,Biotechnology
ALGT,Industrials,Airlines
ALHC,Healthcare,Healthcare Plans
ALIT,Technology,Software - Application
ALK,Industrials,Airlines
ALKS,Healthcare,Drug Manufacturers - Specialty & Generic
ALKT,Technology,Software - Application
ALL,Financial Services,Insurance - Property & Casualty
ALLE,Industrials,Security & Protection Services
ALLO,Healthcare,Biotechnology
ALLR,Healthcare,Biotechnology
ALLT,Technology,Software - Infrastructure
ALLY,Financial Services,Credit Services
ALM,Basic Materials,Other Industrial Metals & Mining
ALMS,Healthcare,Biotechnology
ALMU,Technology,Semiconductors
ALNT,Technology,Electronic Components
ALNY,Healthcare,Biotechnology
ALOT,Technology,Computer Hardware
ALRM,Technology,Software - Application
ALRS,Financial Services,Banks - Regional
ALSN,Consumer Cyclical,Auto Parts
ALT,Healthcare,Biotechnology
ALTG,Industrials,Rental & Leasing Services
ALTI,Financial Services,Asset Management
ALTO,Basic Materials,Specialty Chemicals
ALTS,Technology,Software - Application
ALUR,Healthcare,Medical Devices
ALV,Consumer Cyclical,Auto Parts
ALVO,Healthcare,Drug Manufacturers - Specialty & Generic
ALX,Real Estate,REIT - Retail
ALXO,Healthcare,Biotechnology
ALZN,Healthcare,Biotechnology
AM,Energy,Oil & Gas Midstream
AMAL,Financial Services,Banks - Regional
AMAT,Technology,Semiconductor Equipment & Materials
AMBA,Technology,Semiconductor Equipment & Materials
AMBC,Financial Services,Insurance - Specialty
AMBI,Industrials,Waste Management
AMBO,Consumer Defensive,Education & Training Services
AMBP,Consumer Cyclical,Packaging & Containers
AMBQ,Technology,Semiconductors
AMBR,Technology,Software - Infrastructure
AMC,Communication Services,Entertainment
AMCR,Consumer Cyclical,Packaging & Containers
AMCX,Communication Services,Entertainment
AMD,Technology,Semiconductors
AME,Industrials,Specialty Industrial Machinery
AMG,Financial Services,Asset Management
AMGN,Healthcare,Drug Manufacturers - General
AMH,Real Estate,REIT - Residential
AMIX,Healthcare,Medical Devices
AMKR,Technology,Semiconductor Equipment & Materials
AMLX,Healthcare,Biotechnology
AMN,Healthcare,Medical Care Facilities
AMOD,Technology,Software - Application
AMP,Financial Services,Asset Management
AMPG,Technology,Communication Equipment
AMPH,Healthcare,Drug Manufacturers - Specialty & Generic
AMPL,Technology,Software - Application
AMPX,Industrials,Electrical Equipment & Parts
AMPY,Energy,Oil & Gas E&P
AMR,Basic Materials,Coking Coal
AMRC,Industrials,Engineering & Construction
AMRK,Financial Services,Capital Markets
AMRN,Healthcare,Drug Manufacturers - General
AMRX,Healthcare,Drug Manufacturers - Specialty & Generic
AMRZ,Basic Materials,Building Materials
AMS,Healthcare,Medical Care Facilities
AMSC,Industrials,Specialty Industrial Machinery
AMSF,Financial Services,Insurance - Specialty
AMST,Technology,Software - Application
AMT,Real Estate,REIT - Specialty
AMTB,Financial Services,Banks - Regional
AMTD,Financial Services,Asset Management
AMTM,Industrials,Specialty Business Services
AMTX,Basic Materials,Specialty Chemicals
AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AMWL,Healthcare,Health Information Services
AMX,Communication Services,Telecom Services
AMZE,Consumer Defensive,Beverages - Wineries & Distilleries
AMZN,Consumer Cyclical,Internet Retail
AN,Consumer Cyclical,Auto & Truck Dealerships
ANAB,Healthcare,Biotechnology
ANDE,Consumer Defensive,Food Distribution
ANEB,Healthcare,Biotechnology
ANET,Technology,Computer Hardware
ANF,Consumer Cyclical,Apparel Retail
ANGH,Communication Services,Entertainment
ANGI,Communication Services,Internet Content & Information
ANGO,Healthcare,Medical Instruments & Supplies
ANGX,,
ANIK,Healthcare,Drug Manufacturers - Specialty & Generic
ANIP,Healthcare,Drug Manufacturers - Specialty & Generic
ANIX,Healthcare,Biotechnology
ANL,Healthcare,Biotechnology
ANNA,Energy,Oil & Gas E&P
ANNX,Healthcare,Biotechnology
ANPA,Industrials,Specialty Business Services
ANRO,Healthcare,Biotechnology
ANSC,Financial Services,Shell Companies
ANTA,Financial Services,Credit Services
ANTE,Communication Services,Advertising Agencies
ANTX,Healthcare,Biotechnology
ANVS,Healthcare,Biotechnology
ANY,Financial Services,Capital Markets
AOD,Financial Services,Asset Management
AOMR,Real Estate,REIT - Mortgage
AON,Financial Services,Insurance Brokers
AORT,Healthcare,Medical Devices
AOS,Industrials,Specialty Industrial Machinery
AOSL,Technology,Semiconductors
AOUT,Consumer Cyclical,Leisure
AP,Industrials,Metal Fabrication
APA,Energy,Oil & Gas E&P
APAD,Financial Services,Shell Companies
APAM,Financial Services,Asset Management
APD,Basic Materials,Specialty Chemicals
APDN,Healthcare,Diagnostics & Research
APEI,Consumer Defensive,Education & Training Services
APG,Industrials,Engineering & Construction
APGE,Healthcare,Biotechnology
APH,Technology,Electronic Components
API,Technology,Software - Application
APLD,Technology,Information Technology Services
APLE,Real Estate,REIT - Hotel & Motel
APLM,Healthcare,Biotechnology
APLS,Healthcare,Biotechnology
APLT,Healthcare,Biotechnology
APM,Healthcare,Biotechnology
APO,Financial Services,Asset Management
APOG,Industrials,Building Products & Equipment
APP,Communication Services,Advertising Agencies
APPF,Technology,Software - Application
APPN,Technology,Software - Infrastructure
APPS,Technology,Software - Application
APRE,Healthcare,Biotechnology
APT,Industrials,Building Products & Equipment
APTV,Consumer Cyclical,Auto Parts
APUS,Healthcare,Drug Manufacturers - Specialty & Generic
APVO,Healthcare,Biotechnology
APWC,Industrials,Electrical Equipment & Parts
APYX,Healthcare,Medical Devices
AQB,Consumer Defensive,Farm Products
AQMS,Industrials,Waste Management
AQN,Utilities,Utilities - Diversified
AQST,Healthcare,Drug Manufacturers - Specialty & Generic
AR,Energy,Oil & Gas E&P
ARAI,Technology,Software - Infrastructure
ARAY,Healthcare,Medical Devices
ARBB,Technology,Information Technology Services
ARBE,Technology,Software - Infrastructure
ARBK,Financial Services,Capital Markets
ARCB,Industrials,Trucking
ARCC,Financial Services,Asset Management
ARCO,Consumer Cyclical,Restaurants
ARCT,Healthcare,Biotechnology
ARDC,Financial Services,Asset Management
ARDT,Healthcare,Medical Care Facilities
ARDX,Healthcare,Biotechnology
ARE,Real Estate,REIT - Office
AREB,Consumer Cyclical,Footwear & Accessories
AREC,Basic Materials,Coking Coal
AREN,Communication Services,Internet Content & Information
ARES,Financial Services,Asset Management
ARGX,Healthcare,Biotechnology
ARHS,Consumer Cyclical,Specialty Retail
ARI,Real Estate,REIT - Mortgage
ARIS,Utilities,Utilities - Regulated Water
ARKO,Consumer Cyclical,Specialty Retail
ARKR,Consumer Cyclical,Restaurants
ARL,Real Estate,Real Estate Services
ARLO,Industrials,Building Products & Equipment
ARLP,Energy,Thermal Coal
ARM,Technology,Semiconductors
ARMK,Industrials,Specialty Business Services
ARMN,Basic Materials,Gold
ARMP,Healthcare,Biotechnology
AROC,Energy,Oil & Gas Equipment & Services
AROW,Financial Services,Banks - Regional
ARQ,Industrials,Pollution & Treatment Controls
ARQQ,Technology,Software - Infrastructure
ARQT,Healthcare,Biotechnology
ARR,Real Estate,REIT - Mortgage
ARRY,Technology,Solar
ARTL,Healthcare,Biotechnology
ARTNA,Utilities,Utilities - Regulated Water
ARTV,Healthcare,Biotechnology
ARTW,Industrials,Farm & Heavy Construction Machinery
ARVN,Healthcare,Biotechnology
ARW,Technology,Electronics & Computer Distribution
ARWR,Healthcare,Biotechnology
ARX,Financial Services,Insurance Brokers
AS,Consumer Cyclical,Leisure
ASA,Financial Services,Asset Management
ASAN,Technology,Software - Application
ASB,Financial Services,Banks - Regional
ASBP,Healthcare,Biotechnology
ASC,Industrials,Marine Shipping
ASG,Financial Services,Asset Management
ASGI,Financial Services,Asset Management
ASGN,Technology,Information Technology Services
ASH,Basic Materials,Specialty Chemicals
ASIC,Financial Services,Insurance - Property & Casualty
ASIX,Basic Materials,Chemicals
ASLE,Industrials,Airports & Air Services
ASM,Basic Materials,Other Precious Metals & Mining
ASMB,Healthcare,Biotechnology
ASML,Technology,Semiconductor Equipment & Materials
ASND,Healthcare,Biotechnology
ASNS,Technology,Communication Equipment
ASO,Consumer Cyclical,Specialty Retail
ASPC,Financial Services,Shell Companies
ASPI,Basic Materials,Chemicals
ASPN,Industrials,Building Products & Equipment
ASPS,Real Estate,Real Estate Services
ASR,Industrials,Airports & Air Services
ASRT,Healthcare,Drug Manufacturers - Specialty & Generic
ASRV,Financial Services,Banks - Regional
ASST,Communication Services,Internet Content & Information
ASTC,Technology,Scientific & Technical Instruments
ASTE,Industrials,Farm & Heavy Construction Machinery
ASTH,Healthcare,Medical Care Facilities
ASTI,Technology,Solar
ASTL,Basic Materials,Steel
ASTS,Technology,Communication Equipment
ASUR,Technology,Software - Application
ASX,Technology,Semiconductors
ASYS,Technology,Semiconductor Equipment & Materials
ATAI,Healthcare,Biotechnology
ATAT,Consumer Cyclical,Lodging
ATCH,Technology,Software - Infrastructure
ATEC,Healthcare,Medical Devices
ATEN,Technology,Software - Infrastructure
ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ATEST,,
ATEX,Communication Services,Telecom Services
ATGE,Consumer Defensive,Education & Training Services
ATGL,Technology,Software - Infrastructure
ATHA,Healthcare,Biotechnology
ATHE,Healthcare,Biotechnology
ATHM,Communication Services,Internet Content & Information
ATHR,Technology,Software - Application
ATI,Industrials,Metal Fabrication
ATII,Financial Services,Shell Companies
ATKR,Industrials,Electrical Equipment & Parts
ATLC,Financial Services,Credit Services
ATLN,Industrials,Staffing & Employment Services
ATLO,Financial Services,Banks - Regional
ATLX,Basic Materials,Other Industrial Metals & Mining
ATMC,Financial Services,Shell Companies
ATMU,Consumer Cyclical,Auto Parts
ATMV,Financial Services,Shell Companies
ATNI,Communication Services,Telecom Services
ATNM,Healthcare,Biotechnology
ATO,Utilities,Utilities - Regulated Gas
ATOM,Technology,Semiconductor Equipment & Materials
ATON,Financial Services,Asset Management
ATOS,Healthcare,Biotechnology
ATPC,Consumer Defensive,Packaged Foods
ATR,Healthcare,Medical Instruments & Supplies
ATRA,Healthcare,Biotechnology
ATRC,Healthcare,Medical Instruments & Supplies
ATRO,Industrials,Aerospace & Defense
ATS,Industrials,Specialty Industrial Machinery
ATUS,Communication Services,Telecom Services
ATXG,Industrials,Integrated Freight & Logistics
ATXS,Healthcare,Biotechnology
ATYR,Healthcare,Biotechnology
AU,Basic Materials,Gold
AUB,Financial Services,Banks - Regional
AUBN,Financial Services,Banks - Regional
AUDC,Technology,Communication Equipment
AUGO,Basic Materials,Gold
AUID,Technology,Software - Infrastructure
AUNA,Healthcare,Medical Care Facilities
AUPH,Healthcare,Biotechnology
AUR,Technology,Information Technology Services
AURA,Healthcare,Biotechnology
AUST,Basic Materials,Gold
AUTL,Healthcare,Biotechnology
AUUD,Technology,Software - Application
AVA,Utilities,Utilities - Diversified
AVAH,Healthcare,Medical Care Facilities
AVAL,Financial Services,Banks - Regional
AVAV,Industrials,Aerospace & Defense
AVB,Real Estate,REIT - Residential
AVBC,Financial Services,Banks - Regional
AVBH,Financial Services,Banks - Regional
AVBP,Healthcare,Biotechnology
AVD,Basic Materials,Agricultural Inputs
AVDL,Healthcare,Drug Manufacturers - Specialty & Generic
AVDX,Technology,Software - Infrastructure
AVGO,Technology,Semiconductors
AVIR,Healthcare,Biotechnology
AVK,Financial Services,Asset Management
AVNS,Healthcare,Medical Devices
AVNT,Basic Materials,Specialty Chemicals
AVNW,Technology,Communication Equipment
AVO,Consumer Defensive,Food Distribution
AVPT,Technology,Software - Infrastructure
AVR,Healthcare,Medical Instruments & Supplies
AVT,Technology,Electronics & Computer Distribution
AVTR,Healthcare,Medical Instruments & Supplies
AVTX,Healthcare,Biotechnology
AVXL,Healthcare,Biotechnology
AVY,Consumer Cyclical,Packaging & Containers
AWF,Financial Services,Asset Management
AWI,Industrials,Building Products & Equipment
AWK,Utilities,Utilities - Regulated Water
AWP,Financial Services,Asset Management
AWR,Utilities,Utilities - Regulated Water
AWRE,Technology,Software - Application
AWX,Industrials,Waste Management
AX,Financial Services,Banks - Regional
AXGN,Healthcare,Medical Devices
AXIL,Technology,Consumer Electronics
AXIN,Financial Services,Shell Companies
AXL,Consumer Cyclical,Auto Parts
AXON,Industrials,Aerospace & Defense
AXP,Financial Services,Credit Services
AXR,Real Estate,Real Estate - Development
AXS,Financial Services,Insurance - Specialty
AXSM,Healthcare,Biotechnology
AXTA,Basic Materials,Specialty Chemicals
AXTI,Technology,Semiconductor Equipment & Materials
AYI,Industrials,Electrical Equipment & Parts
AYTU,Healthcare,Drug Manufacturers - Specialty & Generic
AZ,Technology,Software - Application
AZI,Consumer Cyclical,Auto & Truck Dealerships
AZN,Healthcare,Drug Manufacturers - General
AZO,Consumer Cyclical,Auto Parts
AZTA,Healthcare,Medical Instruments & Supplies
AZTR,Healthcare,Biotechnology
AZZ,Industrials,Specialty Business Services
B,Basic Materials,Gold
BA,Industrials,Aerospace & Defense
BABA,Consumer Cyclical,Internet Retail
BAC,Financial Services,Banks - Diversified
BACC,Financial Services,Shell Companies
BACQ,Financial Services,Shell Companies
BAER,Industrials,Security & Protection Services
BAFN,Financial Services,Banks - Regional
BAH,Industrials,Consulting Services
BAK,Basic Materials,Chemicals
BALL,Consumer Cyclical,Packaging & Containers
BALY,Consumer Cyclical,Resorts & Casinos
BAM,Financial Services,Asset Management
BANC,Financial Services,Banks - Regional
BAND,Technology,Software - Infrastructure
BANF,Financial Services,Banks - Regional
BANL,Energy,Oil & Gas Midstream
BANR,Financial Services,Banks - Regional
BANX,Financial Services,Asset Management
BAOS,Communication Services,Advertising Agencies
BAP,Financial Services,Banks - Regional
BARK,Consumer Cyclical,Specialty Retail
BASE,Technology,Software - Infrastructure
BATL,Energy,Oil & Gas E&P
BATRA,Communication Services,Entertainment
BAX,Healthcare,Medical Instruments & Supplies
BAYA,Financial Services,Shell Companies
BB,Technology,Software - Infrastructure
BBAI,Technology,Information Technology Services
BBAR,Financial Services,Banks - Regional
BBBY,,
BBCP,Industrials,Engineering & Construction
BBD,Financial Services,Banks - Regional
BBDC,Financial Services,Asset Management
BBDO,Financial Services,Banks - Regional
BBGI,Communication Services,Broadcasting
BBIO,Healthcare,Biotechnology
BBLG,Healthcare,Medical Devices
BBN,Financial Services,Asset Management
BBNX,Healthcare,Medical Devices
BBOT,Healthcare,Biotechnology
BBSI,Industrials,Staffing & Employment Services
BBT,Financial Services,Banks - Regional
BBU,Industrials,Conglomerates
BBUC,Financial Services,Asset Management
BBVA,Financial Services,Banks - Diversified
BBW,Consumer Cyclical,Specialty Retail
BBWI,Consumer Cyclical,Specialty Retail
BBY,Consumer Cyclical,Specialty Retail
BC,Consumer Cyclical,Recreational Vehicles
BCAB,Healthcare,Biotechnology
BCAL,Financial Services,Banks - Regional
BCAR,Financial Services,Shell Companies
BCAT,Financial Services,Asset Management
BCAX,Healthcare,Biotechnology
BCBP,Financial Services,Banks - Regional
BCC,Basic Materials,Lumber & Wood Production
BCDA,Healthcare,Biotechnology
BCE,Communication Services,Telecom Services
BCG,Financial Services,Asset Management
BCH,Financial Services,Banks - Regional
BCIC,,
BCML,Financial Services,Banks - Regional
BCO,Industrials,Security & Protection Services
BCPC,Basic Materials,Specialty Chemicals
BCRX,Healthcare,Drug Manufacturers - Specialty & Generic
BCS,Financial Services,Banks - Diversified
BCSF,Financial Services,Asset Management
BCTX,Healthcare,Biotechnology
BCV,Financial Services,Asset Management
BCX,Financial Services,Asset Management
BCYC,Healthcare,Biotechnology
BDC,Technology,Communication Equipment
BDJ,Financial Services,Asset Management
BDL,Consumer Cyclical,Restaurants
BDMD,Healthcare,Medical Devices
BDN,Real Estate,REIT - Office
BDRX,Healthcare,Biotechnology
BDSX,Healthcare,Diagnostics & Research
BDTX,Healthcare,Biotechnology
BDX,Healthcare,Medical Instruments & Supplies
BE,Industrials,Electrical Equipment & Parts
BEAG,Financial Services,Shell Companies
BEAM,Healthcare,Biotechnology
BEAT,Healthcare,Health Information Services
BEDU,Consumer Defensive,Education & Training Services
BEEM,Technology,Solar
BEEP,Industrials,Infrastructure Operations
BEKE,Real Estate,Real Estate Services
BELFA,Technology,Electronic Components
BEN,Financial Services,Asset Management
BENF,Financial Services,Asset Management
BEP,Utilities,Utilities - Renewable
BEPC,Utilities,Utilities - Renewable
BETR,Financial Services,Mortgage Finance
BFAM,Consumer Cyclical,Personal Services
BFC,Financial Services,Banks - Regional
BFH,Financial Services,Credit Services
BFIN,Financial Services,Banks - Regional
BFK,Financial Services,Asset Management
BFLY,Healthcare,Medical Devices
BFRG,Healthcare,Health Information Services
BFRI,Healthcare,Drug Manufacturers - Specialty & Generic
BFS,Real Estate,REIT - Retail
BFST,Financial Services,Banks - Regional
BFZ,Financial Services,Asset Management
BG,Consumer Defensive,Farm Products
BGB,Financial Services,Asset Management
BGC,Financial Services,Capital Markets
BGFV,Consumer Cyclical,Specialty Retail
BGH,Financial Services,Asset Management
BGI,Consumer Cyclical,Luxury Goods
BGL,Basic Materials,Gold
BGLC,Basic Materials,Specialty Chemicals
BGM,Healthcare,Drug Manufacturers - Specialty & Generic
BGMS,,
BGR,Financial Services,Asset Management
BGS,Consumer Defensive,Packaged Foods
BGSF,Industrials,Staffing & Employment Services
BGT,Financial Services,Asset Management
BGX,Financial Services,Asset Management
BGY,Financial Services,Asset Management
BH,Consumer Cyclical,Restaurants
BHAT,Communication Services,Electronic Gaming & Multimedia
BHB,Financial Services,Banks - Regional
BHC,Healthcare,Drug Manufacturers - Specialty & Generic
BHE,Technology,Electronic Components
BHF,Financial Services,Insurance - Life
BHK,Financial Services,Asset Management
BHM,Real Estate,REIT - Residential
BHP,Basic Materials,Other Industrial Metals & Mining
BHR,Real Estate,REIT - Hotel & Motel
BHRB,Financial Services,Banks - Regional
BHST,Consumer Defensive,Packaged Foods
BHV,Financial Services,Asset Management
BHVN,Healthcare,Biotechnology
BIAF,Healthcare,Diagnostics & Research
BIDU,Communication Services,Internet Content & Information
BIIB,Healthcare,Drug Manufacturers - General
BILI,Communication Services,Internet Content & Information
BILL,Technology,Software - Application
BINI,Consumer Cyclical,Auto Manufacturers
BIO,Healthcare,Medical Devices
BIOA,Healthcare,Drug Manufacturers - Specialty & Generic
BIOX,Basic Materials,Agricultural Inputs
BIP,Utilities,Utilities - Diversified
BIPC,Utilities,Utilities - Regulated Gas
BIRD,Consumer Cyclical,Apparel Retail
BIRK,Consumer Cyclical,Footwear & Accessories
BIT,Financial Services,Asset Management
BITF,Financial Services,Capital Markets
BIVI,Healthcare,Biotechnology
BIYA,Technology,Software - Application
BJ,Consumer Defensive,Discount Stores
BJDX,Healthcare,Medical Devices
BJRI,Consumer Cyclical,Restaurants
BK,Financial Services,Banks - Diversified
BKD,Healthcare,Medical Care Facilities
BKE,Consumer Cyclical,Apparel Retail
BKH,Utilities,Utilities - Regulated Gas
BKHA,Financial Services,Shell Companies
BKKT,Technology,Software - Infrastructure
BKN,Financial Services,Asset Management
BKNG,Consumer Cyclical,Travel Services
BKR,Energy,Oil & Gas Equipment & Services
BKSY,Industrials,Specialty Business Services
BKT,Financial Services,Asset Management
BKTI,Technology,Communication Equipment
BKU,Financial Services,Banks - Regional
BKV,Energy,Oil & Gas E&P
BKYI,Industrials,Security & Protection Services
BL,Technology,Software - Application
BLBD,Industrials,Farm & Heavy Construction Machinery
BLBX,Technology,Software - Application
BLCO,Healthcare,Medical Instruments & Supplies
BLD,Industrials,Engineering & Construction
BLDP,Industrials,Specialty Industrial Machinery
BLDR,Industrials,Building Products & Equipment
BLE,Financial Services,Asset Management
BLFS,Healthcare,Medical Instruments & Supplies
BLFY,Financial Services,Banks - Regional
BLIN,Technology,Software - Infrastructure
BLIV,Technology,Software - Application
BLK,Financial Services,Asset Management
BLKB,Technology,Software - Application
BLMN,Consumer Cyclical,Restaurants
